Overall rank,Country,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Region,Economic_Health_Index,Social_Economic_Index,Freedom_Trust_Index,Cluster
1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,Western Europe,1.163,1.4635,0.4945,2
2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,Western Europe,1.1895,1.478,0.501,2
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,Western Europe,1.258,1.5350000000000001,0.472,2
4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,Western Europe,1.2029999999999998,1.502,0.3545,2
5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,Western Europe,1.1975,1.459,0.4275,2
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,Western Europe,1.252,1.4889999999999999,0.4575,2
7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,Western Europe,1.198,1.437,0.4735,2
8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,Australia and New Zealand,1.1644999999999999,1.43,0.4825,2
9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,North America,1.202,1.435,0.44599999999999995,2
10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,Western Europe,1.196,1.4255,0.379,2
11,Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.29,Australia and New Zealand,1.2040000000000002,1.46,0.4235,2
12,Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,Latin America and Caribbean,0.9984999999999999,1.2375,0.3255,0
13,Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,Middle East and Northern Africa,1.1524999999999999,1.3655,0.2265,5
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316,Western Europe,1.3105,1.544,0.42100000000000004,2
15,United Kingdom,7.054,1.333,1.538,0.996,0.45,0.348,0.278,Western Europe,1.1644999999999999,1.4355,0.364,2
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31,Western Europe,1.249,1.526,0.41300000000000003,2
17,Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,Western Europe,1.18,1.4135,0.38,2
18,Belgium,6.923,1.356,1.504,0.986,0.473,0.16,0.21,Western Europe,1.171,1.4300000000000002,0.34149999999999997,2
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128,North America,1.1535,1.445,0.29100000000000004,2
20,Czech Republic,6.852,1.269,1.487,0.92,0.457,0.046,0.036,Central and Eastern Europe,1.0945,1.3780000000000001,0.2465,7
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182,Middle East and Northern Africa,1.164,1.4064999999999999,0.39,2
22,Malta,6.726,1.3,1.52,0.999,0.564,0.375,0.151,Western Europe,1.1495,1.4100000000000001,0.3575,2
23,Mexico,6.595,1.07,1.323,0.861,0.433,0.074,0.073,Latin America and Caribbean,0.9655,1.1965,0.253,0
24,France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,Western Europe,1.1844999999999999,1.3980000000000001,0.3095,2
25,Taiwan,6.446,1.368,1.43,0.914,0.351,0.242,0.097,East Asia,1.141,1.399,0.22399999999999998,4
26,Chile,6.444,1.159,1.369,0.92,0.357,0.187,0.056,Latin America and Caribbean,1.0395,1.264,0.2065,0
27,Guatemala,6.436,0.8,1.269,0.746,0.535,0.175,0.078,Latin America and Caribbean,0.773,1.0345,0.3065,0
28,Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.08,0.132,Middle East and Northern Africa,1.099,1.38,0.2855,5
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167,Middle East and Northern Africa,1.2774999999999999,1.4985,0.36100000000000004,5
30,Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,Western Europe,1.174,1.385,0.2205,2
31,Panama,6.321,1.149,1.442,0.91,0.516,0.109,0.054,Latin America and Caribbean,1.0295,1.2955,0.28500000000000003,0
32,Brazil,6.3,1.004,1.439,0.802,0.39,0.099,0.086,Latin America and Caribbean,0.903,1.2215,0.238,0
33,Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.15,Latin America and Caribbean,1.0075,1.2945000000000002,0.3365,0
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,Southeastern Asia,1.3565,1.5175,0.5045000000000001,6
35,El Salvador,6.253,0.794,1.242,0.789,0.43,0.093,0.074,Latin America and Caribbean,0.7915000000000001,1.018,0.252,0
36,Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.03,Western Europe,1.1665,1.391,0.1305,7
